Park,,Rank,Recreation Visits,% of Total
Blue Ridge PKWY,,1,14099485,5.95%
Golden Gate NRA,,2,12400045,5.23%
Great Smoky Mountains NP,,3,12095720,5.10%
Gateway NRA,,4,8404728,3.55%
Lake Mead NRA,,5,8016510,3.38%
George Washington MEM PKWY,,6,6237361,2.63%
Natchez Trace PKWY,,7,6124808,2.58%
Chesapeake & Ohio Canal NHP,,8,4888436,2.06%
Cape Cod NS,,9,4083505,1.72%
Delaware Water Gap NRA,,10,4068529,1.72%
Gulf Islands NS,,11,4012129,1.69%
Yellowstone NP,,12,3806306,1.61%
Zion NP,,13,3591254,1.51%
Rocky Mountain NP,,14,3305199,1.39%
Grand Teton NP,,15,3289638,1.39%
Chattahoochee River NRA,,16,3066877,1.29%
Lincoln Memorial,,17,2980075,1.26%
Colonial NHP,,18,2946594,1.24%
Grand Canyon NP,,19,2897098,1.22%
Cuyahoga Valley NP,,20,2755628,1.16%
Acadia NP,,21,2669034,1.13%
Cape Hatteras NS,,22,2648522,1.12%
Glen Canyon NRA,,23,2553392,1.08%
Olympic NP,,24,2499177,1.05%
Assateague Island NS,,25,2481660,1.05%
Joshua Tree NP,,26,2399542,1.01%
Kennesaw Mountain NBP,,27,2356401,0.99%
Indiana Dunes NP,,28,2293106,0.97%
Yosemite NP,,29,2268313,0.96%
Point Reyes NS,,30,2252424,0.95%
Mount Rushmore NMEM,,31,2074986,0.88%
Valley Forge NHP,,32,2012832,0.85%
San Francisco Maritime NHP,,33,1936101,0.82%
World War II Memorial,,34,1924128,0.81%
Rock Creek Park,,35,1768152,0.75%
Sleeping Bear Dunes NL,,36,1718696,0.72%
Glacier NP,,37,1698864,0.72%
Shenandoah NP,,38,1666265,0.70%
Lake Meredith NRA,,39,1612784,0.68%
Vietnam Veterans MEM,,40,1585525,0.67%
Lake Roosevelt NRA,,41,1519403,0.64%
Buffalo NR,,42,1478846,0.62%
Bryce Canyon NP,,43,1464655,0.62%
Amistad NRA,,44,1424139,0.60%
"John D. Rockefeller, Jr. MEM PKWY",,45,1373817,0.58%
Korean War Veterans Memorial,,46,1363714,0.58%
Hot Springs NP,,47,1348215,0.57%
Chickasaw NRA,,48,1348122,0.57%
Ozark NSR,,49,1316795,0.56%
Arches NP,,50,1238083,0.52%
Pictured Rocks NL,,51,1212251,0.51%
Big Cypress NPRES,,52,1181930,0.50%
Canaveral NS,,53,1162950,0.49%
Mount Rainier NP,,54,1160754,0.49%
San Antonio Missions NHP,,55,1141353,0.48%
Minute Man NHP,,56,1083973,0.46%
"Martin Luther King, Jr. Memorial",,57,1083671,0.46%
New River Gorge NP & PRES,,58,1054374,0.44%
Timucuan EHP,,59,1017373,0.43%
Franklin Delano Roosevelt MEM,,60,1010986,0.43%
Capitol Reef NP,,61,981038,0.41%
Curecanti NRA,,62,921584,0.39%
Ross Lake NRA,,63,920526,0.39%
Badlands NP,,64,916932,0.39%
Independence NHP,,65,907090,0.38%
National Capital Parks East,,66,893421,0.38%
Fort Point NHS,,67,884538,0.37%
Thomas Jefferson MEM,,68,852626,0.36%
Cedar Breaks NM,,69,845867,0.36%
Fredericksburg & Spotsylvania NMP,,70,838835,0.35%
Death Valley NP,,71,820023,0.35%
Whiskeytown NRA,,72,805295,0.34%
Little River Canyon NPRES,,73,802375,0.34%
Saint Croix NSR,,74,798622,0.34%
Sequoia NP,,75,796086,0.34%
Big South Fork NRRA,,76,772625,0.33%
Saguaro NP,,77,762226,0.32%
Cumberland Gap NHP,,78,735447,0.31%
Santa Monica Mountains NRA,,79,733576,0.31%
Everglades NP,,80,702319,0.30%
Chickamauga & Chattanooga NMP,,81,678414,0.29%
Crater Lake NP,,82,670500,0.28%
Fort Vancouver NHS,,83,670111,0.28%
National Capital Parks Central,,84,665650,0.28%
Castle Clinton NM,,85,633793,0.27%
Padre Island NS,,86,617704,0.26%
Mojave NPRES,,87,608633,0.26%
Hawaii Volcanoes NP,,88,589775,0.25%
Statue of Liberty NM,,89,576396,0.24%
Manassas NBP,,90,558036,0.24%
Theodore Roosevelt NP,,91,551303,0.23%
Fort Matanzas NM,,92,543590,0.23%
Lassen Volcanic NP,,93,542274,0.23%
Catoctin Mountain Park,,94,539983,0.23%
Gettysburg NMP,,95,536553,0.23%
Cabrillo NM,,96,523878,0.22%
Canyonlands NP,,97,493914,0.21%
Cape Lookout NS,,98,488331,0.21%
Gateway Arch NP,,99,486021,0.21%
Great Sand Dunes NP & PRES,,100,461532,0.19%
Wind Cave NP,,101,448405,0.19%
Colorado NM,,102,435625,0.18%
San Juan Island NHP,,103,426335,0.18%
Devils Tower NM,,104,423997,0.18%
Pearl Harbor NMEM,,105,415542,0.18%
White Sands NP,,106,415383,0.18%
Kings Canyon NP,,107,415077,0.18%
Fort Caroline NMEM,,108,404476,0.17%
Biscayne NP,,109,402770,0.17%
Big Bend NP,,110,393907,0.17%
Shiloh NMP,,111,386883,0.16%
Petrified Forest NP,,112,384483,0.16%
President's Park,,113,369533,0.16%
Fort Sumter and Fort Moultrie NHP,,114,365133,0.15%
Fort Pulaski NM,,115,357970,0.15%
San Juan NHS,,116,357100,0.15%
Petroglyph NM,,117,356492,0.15%
Black Canyon of the Gunnison NP,,118,341620,0.14%
Paterson Great Falls NHP,,119,339768,0.14%
Prince William Forest Park,,120,333903,0.14%
Fort Donelson NB,,121,325496,0.14%
Muir Woods NM,,122,324232,0.14%
Haleakala NP,,123,319147,0.13%
War in the Pacific NHP,,124,318711,0.13%
River Raisin NBP,,125,309977,0.13%
Big Thicket NPRES,,126,309053,0.13%
Nez Perce NHP,,127,301473,0.13%
Stones River NB,,128,301270,0.13%
Mammoth Cave NP,,129,290392,0.12%
Mesa Verde NP,,130,287477,0.12%
Wilson's Creek NB,,131,287260,0.12%
Wright Brothers NMEM,,132,277963,0.12%
Boston NHP,,133,277170,0.12%
Redwood NP,,134,265177,0.11%
Dinosaur NM,,135,264145,0.11%
Voyageurs NP,,136,263091,0.11%
Morristown NHP,,137,262361,0.11%
Castillo de San Marcos NM,,138,251061,0.11%
Craters of the Moon NM & PRES,,139,250872,0.11%
Fire Island NS,,140,250449,0.11%
Upper Delaware S&RR,,141,250198,0.11%
Kings Mountain NMP,,142,249477,0.11%
Flight 93 NMEM,,143,244364,0.10%
Montezuma Castle NM,,144,242028,0.10%
Obed W&SR,,145,237837,0.10%
Harpers Ferry NHP,,146,234473,0.10%
Abraham Lincoln Birthplace NHP,,147,228141,0.10%
Cowpens NB,,148,226903,0.10%
Apostle Islands NL,,149,219009,0.09%
Vanderbilt Mansion NHS,,150,217231,0.09%
Bighorn Canyon NRA,,151,212295,0.09%
LBJ Memorial Grove on the Potomac,,152,211228,0.09%
Fort Frederica NM,,153,210892,0.09%
Mississippi NRRA,,154,204707,0.09%
Fort Necessity NB,,155,199801,0.08%
"Martin Luther King, Jr. NHP",,156,198158,0.08%
De Soto NMEM,,157,196114,0.08%
Jean Lafitte NHP & PRES,,158,192601,0.08%
Organ Pipe Cactus NM,,159,191512,0.08%
Dwight D. Eisenhower MEM,,160,187328,0.08%
Guilford Courthouse NMP,,161,186020,0.08%
Carlsbad Caverns NP,,162,183835,0.08%
Scotts Bluff NM,,163,181900,0.08%
Richmond NBP,,164,179598,0.08%
Vicksburg NMP,,165,176236,0.07%
Virgin Islands NP,,166,167540,0.07%
Channel Islands NP,,167,167290,0.07%
Piscataway Park,,168,166484,0.07%
Pinnacles NP,,169,165740,0.07%
Fort McHenry NM & HS,,170,163224,0.07%
Lewis & Clark NHP,,171,161230,0.07%
Fort Washington Park,,172,160289,0.07%
Coronado NMEM,,173,156199,0.07%
Monocacy NB,,174,155116,0.07%
Theodore Roosevelt Island,,175,153598,0.06%
Fort Raleigh NHS,,176,153519,0.06%
Petersburg NB,,177,152878,0.06%
Guadalupe Mountains NP,,178,151256,0.06%
Wupatki NM,,179,146074,0.06%
El Malpais NM,,180,139336,0.06%
Allegheny Portage Railroad NHS,,181,136029,0.06%
Kaloko Honokohau NHP,,182,133877,0.06%
Pu'uhonua o Honaunau NHP,,183,130845,0.06%
Salem Maritime NHS,,184,125554,0.05%
Great Basin NP,,185,120248,0.05%
Congaree NP,,186,119306,0.05%
Kenai Fjords NP,,187,115882,0.05%
Sitka NHP,,188,115494,0.05%
White House,,189,114519,0.05%
Missouri NRR,,190,111602,0.05%
Lava Beds NM,,191,111258,0.05%
Lincoln Boyhood NMEM,,192,110692,0.05%
City of Rocks NRES,,193,110203,0.05%
Gauley River NRA,,194,109378,0.05%
Devils Postpile NM,,195,108590,0.05%
Walnut Canyon NM,,196,107422,0.05%
Sagamore Hill NHS,,197,105289,0.04%
Governors Island NM,,198,102915,0.04%
Niobrara NSR,,199,102766,0.04%
Minuteman Missile NHS,,200,98908,0.04%
Palo Alto Battlefield NHP,,201,97860,0.04%
Little Bighorn Battlefield NM,,202,97461,0.04%
Ninety Six NHS,,203,95418,0.04%
Bandelier NM,,204,94948,0.04%
Timpanogos Cave NM,,205,92481,0.04%
Boston African American NHS,,206,89616,0.04%
John Day Fossil Beds NM,,207,88571,0.04%
Johnstown Flood NMEM,,208,87805,0.04%
Antietam NB,,209,85884,0.04%
Sunset Crater Volcano NM,,210,83669,0.04%
Washington Monument,,211,83585,0.04%
Pea Ridge NMP,,212,80455,0.03%
Tuzigoot NM,,213,78358,0.03%
Canyon de Chelly NM,,214,76752,0.03%
Lyndon B. Johnson NHP,,215,75322,0.03%
Saratoga NHP,,216,73825,0.03%
Boston Harbor Islands NRA,,217,71991,0.03%
Little Rock Central High School NHS,,218,68497,0.03%
Fort Smith NHS,,219,67574,0.03%
Grand Portage NM,,220,66426,0.03%
Manzanar NHS,,221,65289,0.03%
Andersonville NHS,,222,63799,0.03%
Capulin Volcano NM,,223,63335,0.03%
Ocmulgee Mounds NHP,,224,61303,0.03%
Florissant Fossil Beds NM,,225,61081,0.03%
Moores Creek NB,,226,58786,0.02%
Natchez NHP,,227,57646,0.02%
Appomattox Court House NHP,,228,57513,0.02%
Herbert Hoover NHS,,229,56270,0.02%
George Rogers Clark NHP,,230,56108,0.02%
Ford's Theatre NHS,,231,56058,0.02%
Denali NP & PRES,,232,54850,0.02%
Lowell NHP,,233,53954,0.02%
Golden Spike NHP,,234,53106,0.02%
Natural Bridges NM,,235,52542,0.02%
Katmai NP & PRES,,236,51511,0.02%
Dry Tortugas NP,,237,48543,0.02%
Waco Mammoth NM,,238,46457,0.02%
Andrew Johnson NHS,,239,46092,0.02%
Chiricahua NM,,240,44794,0.02%
Casa Grande Ruins NM,,241,44269,0.02%
Carl Sandburg Home NHS,,242,42672,0.02%
George Washington Birthplace NM,,243,41970,0.02%
Katahdin Woods and Waters NM,,244,41432,0.02%
Homestead NM of America,,245,40897,0.02%
Perry's Victory & Intl. Peace MEM,,246,40469,0.02%
Home of Franklin D. Roosevelt NHS,,247,40091,0.02%
Dayton Aviation Heritage NHP,,248,39851,0.02%
Pipestone NM,,249,38229,0.02%
Cumberland Island NS,,250,37295,0.02%
Pecos NHP,,251,36695,0.02%
El Morro NM,,252,36328,0.02%
Big Hole NB,,253,36234,0.02%
Fort Davis NHS,,254,35920,0.02%
Jewel Cave NM,,255,35878,0.02%
Hopewell Culture NHP,,256,35710,0.02%
Whitman Mission NHS,,257,34933,0.01%
Hopewell Furnace NHS,,258,34288,0.01%
John Muir NHS,,259,33603,0.01%
Gila Cliff Dwellings NM,,260,31645,0.01%
North Cascades NP,,261,30885,0.01%
Lake Chelan NRA,,262,30598,0.01%
Valles Caldera NPRES,,263,30434,0.01%
Aztec Ruins NM,,264,30223,0.01%
Wolf Trap NP for the Performing Arts,,265,30073,0.01%
Longfellow House Washington's HQ NHS,,266,30014,0.01%
Arkansas Post NMEM,,267,29653,0.01%
Tallgrass Prairie NPRES,,268,29009,0.01%
Horseshoe Bend NMP,,269,28600,0.01%
Greenbelt Park,,270,28319,0.01%
Lincoln Home NHS,,271,27744,0.01%
Steamtown NHS,,272,27322,0.01%
Salinas Pueblo Missions NM,,273,26982,0.01%
George Washington Carver NM,,274,26569,0.01%
Fort Laramie NHS,,275,26066,0.01%
Weir Farm NHS,,276,25430,0.01%
Bluestone NSR,,277,25207,0.01%
Tonto NM,,278,24756,0.01%
General Grant NMEM,,279,24475,0.01%
Fort Stanwix NM,,280,24134,0.01%
Pu'ukohola Heiau NHS,,281,23970,0.01%
Christiansted NHS,,282,23816,0.01%
Tumacacori NHP,,283,23726,0.01%
Charles Pinckney NHS,,284,23723,0.01%
Marsh-Billings-Rockefeller NHP,,285,23538,0.01%
Hamilton Grange NMEM,,286,23015,0.01%
Oregon Caves NM & PRES,,287,22789,0.01%
Booker T. Washington NM,,288,22482,0.01%
Fort Larned NHS,,289,21895,0.01%
Hovenweep NM,,290,19856,0.01%
Friendship Hill NHS,,291,19462,0.01%
Chamizal NMEM,,292,19180,0.01%
New Bedford Whaling NHP,,293,18243,0.01%
Effigy Mounds NM,,294,18225,0.01%
Cane River Creole NHP,,295,17430,0.01%
Saugus Iron Works NHS,,296,16928,0.01%
Wrangell-St. Elias NP & PRES,,297,16655,0.01%
Buck Island Reef NM,,298,16032,0.01%
Pennsylvania Avenue NHS,,299,15898,0.01%
Kalaupapa NHP,,300,15847,0.01%
Grant-Kohrs Ranch NHS,,301,15328,0.01%
Ulysses S. Grant NHS,,302,15236,0.01%
James A. Garfield NHS,,303,14797,0.01%
Fort Scott NHS,,304,14652,0.01%
Eugene O'Neill NHS,,305,14423,0.01%
Jimmy Carter NHS,,306,14267,0.01%
Hagerman Fossil Beds NM,,307,14113,0.01%
Roger Williams NMEM,,308,13971,0.01%
Federal Hall NMEM,,309,13822,0.01%
Saint-Gaudens NHP,,310,13286,0.01%
Fossil Butte NM,,311,13176,0.01%
Klondike Gold Rush NHP Seattle,,312,13003,0.01%
Noatak NPRES,,313,12533,0.01%
Washita Battlefield NHS,,314,12520,0.01%
Bent's Old Fort NHS,,315,12438,0.01%
Martin Van Buren NHS,,316,11480,0.00%
Hubbell Trading Post NHS,,317,11407,0.00%
Manhattan Project NHP,,318,11392,0.00%
Cape Krusenstern NM,,319,11369,0.00%
Kobuk Valley NP,,320,11185,0.00%
William Howard Taft NHS,,321,11100,0.00%
Frederick Douglass NHS,,322,10969,0.00%
Pipe Spring NM,,323,10623,0.00%
New Orleans Jazz NHP,,324,9640,0.00%
Eleanor Roosevelt NHS,,325,9575,0.00%
Rosie The Riveter WWII Home Front NHP,,326,9528,0.00%
Harry S Truman NHS,,327,9446,0.00%
Hampton NHS,,328,8728,0.00%
Agate Fossil Beds NM,,329,8722,0.00%
Russell Cave NM,,330,8462,0.00%
Women's Rights NHP,,331,8237,0.00%
Chaco Culture NHP,,332,8231,0.00%
Eisenhower NHS,,333,7926,0.00%
African Burial Ground NM,,334,7908,0.00%
Thomas Edison NHP,,335,7605,0.00%
Adams NHP,,336,6937,0.00%
Saint Croix Island IHS,,337,6914,0.00%
Tuskegee Airmen NHS,,338,6843,0.00%
Minidoka NHS,,339,6747,0.00%
Isle Royale NP,,340,6493,0.00%
Fort Bowie NHS,,341,6456,0.00%
Saint Paul's Church NHS,,342,5968,0.00%
Glacier Bay NP & PRES,,343,5748,0.00%
Cesar E. Chavez NM,,344,5668,0.00%
Fort Union NM,,345,5334,0.00%
Knife River Indian Villages NHS,,346,5263,0.00%
Fort Union Trading Post NHS,,347,5225,0.00%
Theodore Roosevelt Inaugural NHS,,348,5098,0.00%
Theodore Roosevelt Birthplace NHS,,349,4984,0.00%
Lake Clark NP & PRES,,350,4948,0.00%
National Park of American Samoa,,351,4819,0.00%
Tuskegee Institute NHS,,352,4737,0.00%
Alibates Flint Quarries NM,,353,4269,0.00%
Sand Creek Massacre NHS,,354,4215,0.00%
Brown v. Board of Education NHS,,355,4064,0.00%
President W.J. Clinton Birthplace Home NHS,,356,4055,0.00%
Navajo NM,,357,3985,0.00%
Rainbow Bridge NM,,358,3573,0.00%
Gates of the Arctic NP & PRES,,359,2872,0.00%
Salt River Bay NHP & Ecological Pres,,360,2704,0.00%
Bering Land Bridge NPRES,,361,2642,0.00%
Frederick Law Olmsted NHS,,362,2570,0.00%
Belmont-Paul Women's Equality NM,,363,2535,0.00%
Charles Young Buffalo Soldiers NM,,364,2461,0.00%
Edgar Allan Poe NHS,,365,2418,0.00%
First Ladies NHS,,366,2406,0.00%
Thomas Stone NHS,,367,2351,0.00%
Keweenaw NHP,,368,2130,0.00%
Maggie L. Walker NHS,,369,1849,0.00%
Springfield Armory NHS,,370,1032,0.00%
Yukon-Charley Rivers NPRES,,371,666,0.00%
Mary McLeod Bethune Council House NHS,,372,578,0.00%
Carter G. Woodson Home NHS,,373,548,0.00%
John F. Kennedy NHS,,374,451,0.00%
Clara Barton NHS,,375,450,0.00%
Klondike Gold Rush NHP Alaska,,376,297,0.00%
Nicodemus NHS,,377,262,0.00%
Rio Grande W&SR,,378,126,0.00%
Port Chicago Naval Magazine NMEM,,379,70,0.00%
Aniakchak NM & PRES,,380,36,0.00%

